Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,216,2024-02-13 23:45:00,2024-02-13 23:45:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,5110,2024-02-13 23:50:00,2024-02-13 23:50:00,A,TBS,TBILISI,GEORGIA,3,NOT FINAL
B6,6481,2024-02-14 00:05:00,2024-02-14 00:05:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
DL,7441,2024-02-14 00:05:00,2024-02-14 00:05:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
LY,25,2024-02-14 00:05:00,2024-02-14 00:05:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
LY,572,2024-02-14 00:20:00,2024-02-14 00:20:00,A,OTP,BUCHAREST,ROMANIA,3,NOT FINAL
LY,356,2024-02-14 00:35:00,2024-02-14 00:35:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
LY,364,2024-02-14 00:35:00,2024-02-14 00:35:00,A,VIE,VIENNA,AUSTRIA,3,NOT FINAL
AM,7869,2024-02-14 00:45:00,2024-02-14 00:45:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
AM,7875,2024-02-14 00:45:00,2024-02-14 00:45:00,D,LAX,LOS ANGELES,UNITED STATES,3,ON TIME
AR,7853,2024-02-14 00:45:00,2024-02-14 00:45:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
B6,6451,2024-02-14 00:45:00,2024-02-14 00:45:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
B6,6461,2024-02-14 00:45:00,2024-02-14 00:45:00,D,LAX,LOS ANGELES,UNITED STATES,3,ON TIME
DL,7424,2024-02-14 00:45:00,2024-02-14 00:45:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
DL,7428,2024-02-14 00:45:00,2024-02-14 00:45:00,D,LAX,LOS ANGELES,UNITED STATES,3,ON TIME
LY,1,2024-02-14 00:45:00,2024-02-14 00:45:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
LY,5,2024-02-14 00:45:00,2024-02-14 00:45:00,D,LAX,LOS ANGELES,UNITED STATES,3,ON TIME
6H,584,2024-02-14 00:45:00,2024-02-14 00:45:00,A,LCA,LARNACA,CYPRUS,3,NOT FINAL
LY,388,2024-02-14 00:55:00,2024-02-14 00:55:00,A,MXP,MILAN,ITALY,3,NOT FINAL
SK,3180,2024-02-14 00:55:00,2024-02-14 00:55:00,A,MXP,MILAN,ITALY,3,NOT FINAL
TP,8901,2024-02-14 00:55:00,2024-02-14 00:55:00,A,MXP,MILAN,ITALY,3,NOT FINAL
AR,7851,2024-02-14 01:00:00,2024-02-14 01:00:00,D,MIA,MIAMI,UNITED STATES,3,ON TIME
B6,6467,2024-02-14 01:00:00,2024-02-14 01:00:00,D,MIA,MIAMI,UNITED STATES,3,ON TIME
B6,6483,2024-02-14 01:00:00,2024-02-14 01:00:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
DL,7437,2024-02-14 01:00:00,2024-02-14 01:00:00,D,MIA,MIAMI,UNITED STATES,3,ON TIME
DL,7443,2024-02-14 01:00:00,2024-02-14 01:00:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
LY,17,2024-02-14 01:00:00,2024-02-14 01:00:00,D,MIA,MIAMI,UNITED STATES,3,ON TIME
LY,27,2024-02-14 01:00:00,2024-02-14 01:00:00,D,EWR,NEWARK,UNITED STATES,3,ON TIME
ET,404,2024-02-14 01:05:00,2024-02-14 01:05:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,NOT FINAL
LY,8804,2024-02-14 01:05:00,2024-02-14 01:05:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,NOT FINAL
ET,405,2024-02-14 02:05:00,2024-02-14 02:05:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,ON TIME
LY,8807,2024-02-14 02:05:00,2024-02-14 02:05:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,ON TIME
LY,2524,2024-02-14 02:45:00,2024-02-14 02:45:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
AM,7850,2024-02-14 02:55:00,2024-02-14 02:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
LY,336,2024-02-14 02:55:00,2024-02-14 02:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
SK,3152,2024-02-14 02:55:00,2024-02-14 02:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
IZ,640,2024-02-14 03:25:00,2024-02-14 03:25:00,A,CMB,COLOMBO,SRI LANKA,3,NOT FINAL
AM,7854,2024-02-14 03:55:00,2024-02-14 03:55:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
LY,326,2024-02-14 03:55:00,2024-02-14 03:55:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
SK,3158,2024-02-14 03:55:00,2024-02-14 03:55:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
AA,9267,2024-02-14 05:05:00,2024-02-14 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
AM,7876,2024-02-14 05:05:00,2024-02-14 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,318,2024-02-14 05:05:00,2024-02-14 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
SK,3174,2024-02-14 05:05:00,2024-02-14 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
AA,9262,2024-02-14 05:50:00,2024-02-14 05:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
AM,7867,2024-02-14 05:50:00,2024-02-14 05:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,319,2024-02-14 05:50:00,2024-02-14 05:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
SK,3161,2024-02-14 05:50:00,2024-02-14 05:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,345,2024-02-14 05:55:00,2024-02-14 05:55:00,D,GVA,GENEVA,SWITZERLAND,3,ON TIME
LY,2371,2024-02-14 06:00:00,2024-02-14 06:00:00,D,BER,BERLIN,GERMANY,3,ON TIME
SK,3157,2024-02-14 06:00:00,2024-02-14 06:00:00,D,BER,BERLIN,GERMANY,3,ON TIME
AM,7864,2024-02-14 06:05:00,2024-02-14 06:05:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,337,2024-02-14 06:05:00,2024-02-14 06:05:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
SK,3155,2024-02-14 06:05:00,2024-02-14 06:05:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
AR,7877,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FCO,ROME,ITALY,3,ON TIME
LY,357,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
LY,385,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FCO,ROME,ITALY,3,ON TIME
SK,3165,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
SK,3167,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FCO,ROME,ITALY,3,ON TIME
TP,8898,2024-02-14 06:10:00,2024-02-14 06:10:00,D,FCO,ROME,ITALY,3,ON TIME
AA,9265,2024-02-14 06:15:00,2024-02-14 06:15:00,D,MAD,MADRID,SPAIN,3,ON TIME
AM,7879,2024-02-14 06:15:00,2024-02-14 06:15:00,D,MAD,MADRID,SPAIN,3,ON TIME
AR,7871,2024-02-14 06:15:00,2024-02-14 06:15:00,D,MAD,MADRID,SPAIN,3,ON TIME
IB,2394,2024-02-14 06:15:00,2024-02-14 06:15:00,D,MAD,MADRID,SPAIN,3,ON TIME
LY,82,2024-02-14 06:15:00,2024-02-14 06:15:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
LY,395,2024-02-14 06:15:00,2024-02-14 06:15:00,D,MAD,MADRID,SPAIN,3,ON TIME
QF,5021,2024-02-14 06:15:00,2024-02-14 06:15:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
TG,5483,2024-02-14 06:15:00,2024-02-14 06:15:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
VN,3299,2024-02-14 06:15:00,2024-02-14 06:15:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
IB,2392,2024-02-14 06:30:00,2024-02-14 06:30:00,D,BCN,BARCELONA,SPAIN,3,ON TIME
IZ,291,2024-02-14 06:30:00,2024-02-14 06:30:00,D,BUD,BUDAPEST,HUNGARY,3,ON TIME
LY,393,2024-02-14 06:30:00,2024-02-14 06:30:00,D,BCN,BARCELONA,SPAIN,3,ON TIME
LY,4,2024-02-14 06:50:00,2024-02-14 06:50:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
LY,381,2024-02-14 06:50:00,2024-02-14 06:50:00,D,MXP,MILAN,ITALY,3,ON TIME
LY,541,2024-02-14 06:50:00,2024-02-14 06:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
SK,3185,2024-02-14 06:50:00,2024-02-14 06:50:00,D,MXP,MILAN,ITALY,3,ON TIME
TP,8910,2024-02-14 06:50:00,2024-02-14 06:50:00,D,MXP,MILAN,ITALY,3,ON TIME
IZ,801,2024-02-14 07:00:00,2024-02-14 07:00:00,D,ETM,RAMON,ISRAEL,3,ON TIME
LY,311,2024-02-14 07:00:00,2024-02-14 07:00:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,ON TIME
LY,361,2024-02-14 07:00:00,2024-02-14 07:00:00,D,VIE,VIENNA,AUSTRIA,3,ON TIME
LY,573,2024-02-14 07:00:00,2024-02-14 07:00:00,D,OTP,BUCHAREST,ROMANIA,3,ON TIME
LY,2365,2024-02-14 07:05:00,2024-02-14 07:05:00,D,BUD,BUDAPEST,HUNGARY,3,ON TIME
6H,661,2024-02-14 07:20:00,2024-02-14 07:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
LY,551,2024-02-14 07:30:00,2024-02-14 07:30:00,D,SOF,SOFIA,BULGARIA,3,ON TIME
6H,43,2024-02-14 07:30:00,2024-02-14 07:30:00,D,ETM,RAMON,ISRAEL,3,ON TIME
AR,7850,2024-02-14 07:45:00,2024-02-14 07:45:00,A,MIA,MIAMI,UNITED STATES,3,NOT FINAL
B6,6468,2024-02-14 07:45:00,2024-02-14 07:45:00,A,MIA,MIAMI,UNITED STATES,3,NOT FINAL
DL,7438,2024-02-14 07:45:00,2024-02-14 07:45:00,A,MIA,MIAMI,UNITED STATES,3,NOT FINAL
LY,18,2024-02-14 07:45:00,2024-02-14 07:45:00,A,MIA,MIAMI,UNITED STATES,3,NOT FINAL
6H,883,2024-02-14 07:45:00,2024-02-14 07:45:00,D,BUS,BATUMI,GEORGIA,3,ON TIME
LY,131,2024-02-14 08:00:00,2024-02-14 08:00:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,3237,2024-02-14 08:00:00,2024-02-14 08:00:00,D,AMS,AMSTERDAM,NETHERLANDS,3,CANCELED
LY,611,2024-02-14 08:20:00,2024-02-14 08:20:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,ON TIME
S7,4482,2024-02-14 08:20:00,2024-02-14 08:20:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,ON TIME
EK,2369,2024-02-14 08:55:00,2024-02-14 08:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
FZ,1549,2024-02-14 08:55:00,2024-02-14 08:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
AM,7885,2024-02-14 09:00:00,2024-02-14 09:00:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,3,2024-02-14 09:00:00,2024-02-14 09:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
LY,323,2024-02-14 09:00:00,2024-02-14 09:00:00,D,CDG,PARIS,FRANCE,3,ON TIME
SK,3163,2024-02-14 09:00:00,2024-02-14 09:00:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,5129,2024-02-14 09:05:00,2024-02-14 09:05:00,D,RMO,CHISINAU,MOLDOVA,3,ON TIME
AA,9261,2024-02-14 09:15:00,2024-02-14 09:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
AM,7863,2024-02-14 09:15:00,2024-02-14 09:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
IZ,802,2024-02-14 09:15:00,2024-02-14 09:15:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
LY,315,2024-02-14 09:15:00,2024-02-14 09:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
SK,3181,2024-02-14 09:15:00,2024-02-14 09:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
IZ,807,2024-02-14 10:00:00,2024-02-14 10:00:00,D,ETM,RAMON,ISRAEL,3,ON TIME
6H,44,2024-02-14 10:00:00,2024-02-14 10:00:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
6H,563,2024-02-14 10:00:00,2024-02-14 10:00:00,D,ATH,ATHENS,GREECE,3,ON TIME
EK,2370,2024-02-14 10:10:00,2024-02-14 10:10:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1550,2024-02-14 10:10:00,2024-02-14 10:10:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
IZ,603,2024-02-14 10:15:00,2024-02-14 10:15:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
EK,2450,2024-02-14 10:20:00,2024-02-14 10:20:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
FZ,1081,2024-02-14 10:20:00,2024-02-14 10:20:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
A4,5025,2024-02-14 10:55:00,2024-02-14 10:55:00,A,AER,SOCHI,RUSSIAN FEDERATION,3,NOT FINAL
6H,47,2024-02-14 11:00:00,2024-02-14 11:00:00,D,ETM,RAMON,ISRAEL,3,ON TIME
AM,7868,2024-02-14 11:20:00,2024-02-14 11:20:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
AR,7852,2024-02-14 11:20:00,2024-02-14 11:20:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
B6,6450,2024-02-14 11:20:00,2024-02-14 11:20:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
DL,7425,2024-02-14 11:20:00,2024-02-14 11:20:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
EY,593,2024-02-14 11:20:00,2024-02-14 11:20:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,NOT FINAL
LY,2,2024-02-14 11:20:00,2024-02-14 11:20:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
LY,9600,2024-02-14 11:20:00,2024-02-14 11:20:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,NOT FINAL
LY,5791,2024-02-14 11:30:00,2024-02-14 11:30:00,D,BUD,BUDAPEST,HUNGARY,3,ON TIME
EK,2451,2024-02-14 11:35:00,2024-02-14 11:35:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1082,2024-02-14 11:35:00,2024-02-14 11:35:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
EK,2363,2024-02-14 11:40:00,2024-02-14 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
FZ,1211,2024-02-14 11:40:00,2024-02-14 11:40:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
LY,615,2024-02-14 11:45:00,2024-02-14 11:45:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,ON TIME
BZ,111,2024-02-14 11:50:00,2024-02-14 11:50:00,A,LCA,LARNACA,CYPRUS,3,NOT FINAL
LX,254,2024-02-14 11:50:00,2024-02-14 11:50:00,A,ZRH,ZURICH,SWITZERLAND,3,NOT FINAL
LY,973,2024-02-14 11:50:00,2024-02-14 11:50:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
A3,926,2024-02-14 12:00:00,2024-02-14 12:00:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
JU,7620,2024-02-14 12:00:00,2024-02-14 12:00:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
A4,5026,2024-02-14 12:05:00,2024-02-14 12:05:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,ON TIME
LY,542,2024-02-14 12:05:00,2024-02-14 12:05:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
IZ,808,2024-02-14 12:15:00,2024-02-14 12:15:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
FR,9986,2024-02-14 12:30:00,2024-02-14 12:30:00,A,MRS,MARSEILLE,FRANCE,3,NOT FINAL
BZ,112,2024-02-14 12:40:00,2024-02-14 12:40:00,D,LCA,LARNACA,CYPRUS,3,ON TIME
A3,927,2024-02-14 12:50:00,2024-02-14 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
EK,4978,2024-02-14 12:50:00,2024-02-14 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
FB,1514,2024-02-14 12:50:00,2024-02-14 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
JU,7621,2024-02-14 12:50:00,2024-02-14 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
LX,255,2024-02-14 12:50:00,2024-02-14 12:50:00,D,ZRH,ZURICH,SWITZERLAND,3,ON TIME
EK,2364,2024-02-14 12:55:00,2024-02-14 12:55:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1212,2024-02-14 12:55:00,2024-02-14 12:55:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
AM,7871,2024-02-14 13:00:00,2024-02-14 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
AR,7855,2024-02-14 13:00:00,2024-02-14 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
B6,6455,2024-02-14 13:00:00,2024-02-14 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
DL,7430,2024-02-14 13:00:00,2024-02-14 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
EY,594,2024-02-14 13:00:00,2024-02-14 13:00:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,ON TIME
LY,7,2024-02-14 13:00:00,2024-02-14 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
LY,9601,2024-02-14 13:00:00,2024-02-14 13:00:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,ON TIME
EK,2345,2024-02-14 13:05:00,2024-02-14 13:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
FZ,1125,2024-02-14 13:05:00,2024-02-14 13:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
IZ,815,2024-02-14 13:10:00,2024-02-14 13:10:00,D,ETM,RAMON,ISRAEL,3,ON TIME
FR,9987,2024-02-14 13:20:00,2024-02-14 13:20:00,D,MRS,MARSEILLE,FRANCE,3,ON TIME
BZ,701,2024-02-14 13:30:00,2024-02-14 13:30:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
B6,6466,2024-02-14 13:30:00,2024-02-14 13:30:00,A,BOS,BOSTON,UNITED STATES,3,NOT FINAL
DL,7436,2024-02-14 13:30:00,2024-02-14 13:30:00,A,BOS,BOSTON,UNITED STATES,3,NOT FINAL
LY,16,2024-02-14 13:30:00,2024-02-14 13:30:00,A,BOS,BOSTON,UNITED STATES,3,NOT FINAL
6H,884,2024-02-14 13:30:00,2024-02-14 13:30:00,A,BUS,BATUMI,GEORGIA,3,NOT FINAL
LY,574,2024-02-14 13:35:00,2024-02-14 13:35:00,A,OTP,BUCHAREST,ROMANIA,3,NOT FINAL
LY,375,2024-02-14 13:40:00,2024-02-14 13:40:00,D,LIS,LISBON,PORTUGAL,3,ON TIME
TP,8920,2024-02-14 13:40:00,2024-02-14 13:40:00,D,LIS,LISBON,PORTUGAL,3,ON TIME
LY,552,2024-02-14 13:45:00,2024-02-14 13:45:00,A,SOF,SOFIA,BULGARIA,3,NOT FINAL
6H,48,2024-02-14 13:45:00,2024-02-14 13:45:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
AM,7874,2024-02-14 13:50:00,2024-02-14 13:50:00,A,LAX,LOS ANGELES,UNITED STATES,3,NOT FINAL
B6,6462,2024-02-14 13:50:00,2024-02-14 13:50:00,A,LAX,LOS ANGELES,UNITED STATES,3,NOT FINAL
LY,6,2024-02-14 13:50:00,2024-02-14 13:50:00,A,LAX,LOS ANGELES,UNITED STATES,3,NOT FINAL
LY,10,2024-02-14 14:10:00,2024-02-14 14:10:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
EK,2346,2024-02-14 14:20:00,2024-02-14 14:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1126,2024-02-14 14:20:00,2024-02-14 14:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
IZ,292,2024-02-14 14:25:00,2024-02-14 14:25:00,A,BUD,BUDAPEST,HUNGARY,3,NOT FINAL
AR,7876,2024-02-14 14:30:00,2024-02-14 14:30:00,A,FCO,ROME,ITALY,3,NOT FINAL
BZ,702,2024-02-14 14:30:00,2024-02-14 14:30:00,D,ATH,ATHENS,GREECE,3,ON TIME
LY,386,2024-02-14 14:30:00,2024-02-14 14:30:00,A,FCO,ROME,ITALY,3,NOT FINAL
6H,725,2024-02-14 14:30:00,2024-02-14 14:30:00,D,BUD,BUDAPEST,HUNGARY,3,ON TIME
LY,5107,2024-02-14 14:35:00,2024-02-14 14:35:00,D,TBS,TBILISI,GEORGIA,3,ON TIME
6H,767,2024-02-14 14:45:00,2024-02-14 14:45:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,ON TIME
LY,2366,2024-02-14 14:55:00,2024-02-14 14:55:00,A,BUD,BUDAPEST,HUNGARY,3,NOT FINAL
6H,564,2024-02-14 15:15:00,2024-02-14 15:15:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
B6,6482,2024-02-14 15:20:00,2024-02-14 15:20:00,A,EWR,NEWARK,UNITED STATES,3,NOT FINAL
DL,7442,2024-02-14 15:20:00,2024-02-14 15:20:00,A,EWR,NEWARK,UNITED STATES,3,NOT FINAL
LY,26,2024-02-14 15:20:00,2024-02-14 15:20:00,A,EWR,NEWARK,UNITED STATES,3,NOT FINAL
LY,362,2024-02-14 15:25:00,2024-02-14 15:25:00,A,VIE,VIENNA,AUSTRIA,3,NOT FINAL
AC,9020,2024-02-14 15:30:00,2024-02-14 15:30:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
IZ,211,2024-02-14 15:30:00,2024-02-14 15:30:00,D,ATH,ATHENS,GREECE,3,ON TIME
LH,686,2024-02-14 15:30:00,2024-02-14 15:30:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
NH,5459,2024-02-14 15:30:00,2024-02-14 15:30:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
SN,7173,2024-02-14 15:30:00,2024-02-14 15:30:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
UA,9120,2024-02-14 15:30:00,2024-02-14 15:30:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
IZ,816,2024-02-14 15:35:00,2024-02-14 15:35:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
LY,2372,2024-02-14 15:35:00,2024-02-14 15:35:00,A,BER,BERLIN,GERMANY,3,NOT FINAL
LY,343,2024-02-14 15:35:00,2024-02-14 15:35:00,D,ZRH,ZURICH,SWITZERLAND,3,ON TIME
SK,3154,2024-02-14 15:35:00,2024-02-14 15:35:00,A,BER,BERLIN,GERMANY,3,NOT FINAL
SK,3191,2024-02-14 15:35:00,2024-02-14 15:35:00,D,ZRH,ZURICH,SWITZERLAND,3,ON TIME
LY,346,2024-02-14 15:45:00,2024-02-14 15:45:00,A,GVA,GENEVA,SWITZERLAND,3,NOT FINAL
LY,387,2024-02-14 15:45:00,2024-02-14 15:45:00,D,MXP,MILAN,ITALY,3,ON TIME
SK,3183,2024-02-14 15:45:00,2024-02-14 15:45:00,D,MXP,MILAN,ITALY,3,ON TIME
6H,564,2024-02-14 15:45:00,2024-02-14 15:45:00,A,ATH,ATHENS,GREECE,3,CANCELED
6H,662,2024-02-14 15:50:00,2024-02-14 15:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
LY,382,2024-02-14 16:00:00,2024-02-14 16:00:00,A,MXP,MILAN,ITALY,3,NOT FINAL
SK,3184,2024-02-14 16:00:00,2024-02-14 16:00:00,A,MXP,MILAN,ITALY,3,NOT FINAL
LY,358,2024-02-14 16:05:00,2024-02-14 16:05:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
AM,7851,2024-02-14 16:10:00,2024-02-14 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,339,2024-02-14 16:10:00,2024-02-14 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
SK,3151,2024-02-14 16:10:00,2024-02-14 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
IZ,161,2024-02-14 16:15:00,2024-02-14 16:15:00,D,LCA,LARNACA,CYPRUS,3,ON TIME
LY,5130,2024-02-14 16:20:00,2024-02-14 16:20:00,A,RMO,CHISINAU,MOLDOVA,3,NOT FINAL
IZ,821,2024-02-14 16:30:00,2024-02-14 16:30:00,D,ETM,RAMON,ISRAEL,3,ON TIME
LH,687,2024-02-14 16:35:00,2024-02-14 16:35:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
SN,7174,2024-02-14 16:35:00,2024-02-14 16:35:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
UA,9123,2024-02-14 16:35:00,2024-02-14 16:35:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
AA,9258,2024-02-14 16:40:00,2024-02-14 16:40:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
IB,2393,2024-02-14 16:40:00,2024-02-14 16:40:00,A,BCN,BARCELONA,SPAIN,3,NOT FINAL
LY,320,2024-02-14 16:40:00,2024-02-14 16:40:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
LY,394,2024-02-14 16:40:00,2024-02-14 16:40:00,A,BCN,BARCELONA,SPAIN,3,NOT FINAL
6H,561,2024-02-14 16:40:00,2024-02-14 16:40:00,D,ATH,ATHENS,GREECE,3,ON TIME
AM,7853,2024-02-14 16:50:00,2024-02-14 16:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,325,2024-02-14 16:50:00,2024-02-14 16:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,338,2024-02-14 16:50:00,2024-02-14 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
SK,3150,2024-02-14 16:50:00,2024-02-14 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
AM,7866,2024-02-14 17:05:00,2024-02-14 17:05:00,D,MAD,MADRID,SPAIN,3,ON TIME
AR,7873,2024-02-14 17:05:00,2024-02-14 17:05:00,D,MAD,MADRID,SPAIN,3,ON TIME
IB,2396,2024-02-14 17:05:00,2024-02-14 17:05:00,D,MAD,MADRID,SPAIN,3,ON TIME
LY,397,2024-02-14 17:05:00,2024-02-14 17:05:00,D,MAD,MADRID,SPAIN,3,ON TIME
AM,7856,2024-02-14 17:10:00,2024-02-14 17:10:00,A,JFK,NEW YORK,UNITED STATES,3,NOT FINAL
