Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,5101,2024-02-12 14:30:00,2024-02-12 14:54:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,2366,2024-02-12 14:55:00,2024-02-12 15:01:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
6H,583,2024-02-12 15:00:00,2024-02-12 15:10:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
LO,153,2024-02-12 15:00:00,2024-02-12 15:25:00,A,WAW,WARSAW,POLAND,3,LANDED
LY,9254,2024-02-12 15:00:00,2024-02-12 15:25:00,A,WAW,WARSAW,POLAND,3,LANDED
FR,5389,2024-02-12 12:45:00,2024-02-12 15:28:00,A,FMM,MEMMINGEN,GERMANY,3,LANDED
AA,9264,2024-02-12 15:05:00,2024-02-12 15:35:00,A,MUC,MUNICH,GERMANY,3,LANDED
LY,354,2024-02-12 15:05:00,2024-02-12 15:35:00,A,MUC,MUNICH,GERMANY,3,LANDED
IZ,816,2024-02-12 15:35:00,2024-02-12 15:41:00,A,ETM,RAMON,ISRAEL,3,LANDED
IZ,212,2024-02-12 15:35:00,2024-02-12 15:44:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,346,2024-02-12 16:00:00,2024-02-12 15:57:00,A,GVA,GENEVA,SWITZERLAND,3,LANDED
LY,387,2024-02-12 15:45:00,2024-02-12 15:57:00,D,MXP,MILAN,ITALY,3,DEPARTED
SK,3183,2024-02-12 15:45:00,2024-02-12 15:57:00,D,MXP,MILAN,ITALY,3,DEPARTED
6H,843,2024-02-12 15:40:00,2024-02-12 16:03:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
LY,2372,2024-02-12 15:35:00,2024-02-12 16:04:00,A,BER,BERLIN,GERMANY,3,LANDED
SK,3154,2024-02-12 15:35:00,2024-02-12 16:04:00,A,BER,BERLIN,GERMANY,3,LANDED
WZ,4312,2024-02-12 14:15:00,2024-02-12 16:09:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
LY,382,2024-02-12 16:00:00,2024-02-12 16:24:00,A,MXP,MILAN,ITALY,3,LANDED
SK,3184,2024-02-12 16:00:00,2024-02-12 16:24:00,A,MXP,MILAN,ITALY,3,LANDED
LY,5120,2024-02-12 16:20:00,2024-02-12 16:27:00,A,KRK,KRAKOW,POLAND,3,LANDED
AM,7851,2024-02-12 16:10:00,2024-02-12 16:29:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,339,2024-02-12 16:10:00,2024-02-12 16:29:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
SK,3151,2024-02-12 16:10:00,2024-02-12 16:29:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
EK,2346,2024-02-12 14:20:00,2024-02-12 16:33:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1126,2024-02-12 14:20:00,2024-02-12 16:33:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
U8,109,2024-02-12 16:20:00,2024-02-12 16:35:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
LX,252,2024-02-12 16:10:00,2024-02-12 16:38:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
IB,2393,2024-02-12 16:40:00,2024-02-12 16:40:00,A,BCN,BARCELONA,SPAIN,3,LANDED
LY,394,2024-02-12 16:40:00,2024-02-12 16:40:00,A,BCN,BARCELONA,SPAIN,3,LANDED
FR,5390,2024-02-12 13:35:00,2024-02-12 16:42:00,D,FMM,MEMMINGEN,GERMANY,3,DEPARTED
LH,680,2024-02-12 16:05:00,2024-02-12 16:43:00,A,MUC,MUNICH,GERMANY,3,LANDED
SN,7171,2024-02-12 16:05:00,2024-02-12 16:43:00,A,MUC,MUNICH,GERMANY,3,LANDED
UA,9471,2024-02-12 16:05:00,2024-02-12 16:43:00,A,MUC,MUNICH,GERMANY,3,LANDED
LO,154,2024-02-12 16:05:00,2024-02-12 16:48:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,9253,2024-02-12 16:05:00,2024-02-12 16:48:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,338,2024-02-12 16:50:00,2024-02-12 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,CANCELED
SK,3150,2024-02-12 16:50:00,2024-02-12 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,CANCELED
AR,7879,2024-02-12 16:15:00,2024-02-12 16:52:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,358,2024-02-12 16:05:00,2024-02-12 16:52:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
LY,383,2024-02-12 16:15:00,2024-02-12 16:52:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8900,2024-02-12 16:15:00,2024-02-12 16:52:00,D,FCO,ROME,ITALY,3,DEPARTED
AM,7856,2024-02-12 17:10:00,2024-02-12 16:56:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AR,7856,2024-02-12 17:10:00,2024-02-12 16:56:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
B6,6456,2024-02-12 17:10:00,2024-02-12 16:56:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
DL,7431,2024-02-12 17:10:00,2024-02-12 16:56:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,8,2024-02-12 17:10:00,2024-02-12 16:56:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
IZ,414,2024-02-12 17:00:00,2024-02-12 16:59:00,A,BUS,BATUMI,GEORGIA,3,LANDED
IZ,821,2024-02-12 16:30:00,2024-02-12 17:00:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
AM,7853,2024-02-12 16:50:00,2024-02-12 17:04:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,325,2024-02-12 16:50:00,2024-02-12 17:04:00,D,CDG,PARIS,FRANCE,3,DEPARTED
6H,662,2024-02-12 15:50:00,2024-02-12 17:14:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
LY,363,2024-02-12 16:15:00,2024-02-12 17:23:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
AM,7877,2024-02-12 17:15:00,2024-02-12 17:27:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,317,2024-02-12 17:15:00,2024-02-12 17:27:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,543,2024-02-12 17:15:00,2024-02-12 17:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LY,83,2024-02-12 17:25:00,2024-02-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5018,2024-02-12 17:25:00,2024-02-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4586,2024-02-12 17:25:00,2024-02-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
6H,584,2024-02-12 18:10:00,2024-02-12 17:39:00,A,LCA,LARNACA,CYPRUS,3,LANDED
LY,348,2024-02-12 17:35:00,2024-02-12 17:43:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
SK,3188,2024-02-12 17:35:00,2024-02-12 17:43:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
AA,9266,2024-02-12 17:50:00,2024-02-12 17:47:00,A,MAD,MADRID,SPAIN,3,LANDED
AM,7859,2024-02-12 17:50:00,2024-02-12 17:47:00,A,MAD,MADRID,SPAIN,3,LANDED
AR,7872,2024-02-12 17:50:00,2024-02-12 17:47:00,A,MAD,MADRID,SPAIN,3,LANDED
IB,2395,2024-02-12 17:50:00,2024-02-12 17:47:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,396,2024-02-12 17:50:00,2024-02-12 17:47:00,A,MAD,MADRID,SPAIN,3,LANDED
6H,726,2024-02-12 17:45:00,2024-02-12 17:52:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
LY,2523,2024-02-12 17:45:00,2024-02-12 18:01:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
LY,571,2024-02-12 17:50:00,2024-02-12 18:03:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
LY,5109,2024-02-12 17:30:00,2024-02-12 18:06:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
LH,681,2024-02-12 17:10:00,2024-02-12 18:18:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
SN,7172,2024-02-12 17:10:00,2024-02-12 18:18:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
LX,253,2024-02-12 17:10:00,2024-02-12 18:20:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
LY,312,2024-02-12 18:35:00,2024-02-12 18:36:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
6H,45,2024-02-12 17:00:00,2024-02-12 18:48:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
IZ,822,2024-02-12 18:55:00,2024-02-12 18:52:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,561,2024-02-12 18:50:00,2024-02-12 19:11:00,D,ATH,ATHENS,GREECE,3,DEPARTED
AA,9259,2024-02-12 20:00:00,2024-02-12 19:55:00,A,CDG,PARIS,FRANCE,3,LANDED
AM,7862,2024-02-12 20:00:00,2024-02-12 19:55:00,A,CDG,PARIS,FRANCE,3,LANDED
