,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
255,LY,381,EL AL ISRAEL AIRLINES,2024-02-13T06:50:00,2024-02-13T07:06:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
256,SK,3185,SAS,2024-02-13T06:50:00,2024-02-13T07:06:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
257,TP,8910,AIR PORTUGAL,2024-02-13T06:50:00,2024-02-13T07:06:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
258,IZ,801,ARKIA  ISRAELI  AIRLINES,2024-02-13T07:00:00,2024-02-13T07:08:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,DEPARTED,המריאה
259,LY,2365,EL AL ISRAEL AIRLINES,2024-02-13T07:05:00,2024-02-13T07:22:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,DEPARTED,המריאה
260,LY,347,EL AL ISRAEL AIRLINES,2024-02-13T07:20:00,2024-02-13T07:33:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
261,SK,3189,SAS,2024-02-13T07:20:00,2024-02-13T07:33:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
263,6H,043,ISRAIR AIRLINES,2024-02-13T07:30:00,2024-02-13T07:41:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G28-G35,G,DEPARTED,המריאה
264,LY,551,EL AL ISRAEL AIRLINES,2024-02-13T07:30:00,2024-02-13T07:43:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,78-99,D,DEPARTED,המריאה
265,6H,661,ISRAIR AIRLINES,2024-02-13T07:20:00,2024-02-13T08:04:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,DEPARTED,המריאה
266,IZ,2821,ARKIA  ISRAELI  AIRLINES,2024-02-13T08:10:00,2024-02-13T08:08:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,DEPARTED,המריאה
267,6H,885,ISRAIR AIRLINES,2024-02-13T08:10:00,2024-02-13T08:24:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,37-40,B,DEPARTED,המריאה
270,LY,611,EL AL ISRAEL AIRLINES,2024-02-13T08:20:00,2024-02-13T08:26:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
271,S7,4482,SIBERIA AIRLINES,2024-02-13T08:20:00,2024-02-13T08:26:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
272,6H,225,ISRAIR AIRLINES,2024-02-13T08:10:00,2024-02-13T08:29:00,D,RVN,ROVANIEMI,רובניימי,ROVANIEMI,פינלנד,FINLAND,3,40-43,B,DEPARTED,המריאה
273,LY,541,EL AL ISRAEL AIRLINES,2024-02-13T08:30:00,2024-02-13T08:51:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
275,LY,5141,EL AL ISRAEL AIRLINES,2024-02-13T09:10:00,2024-02-13T09:25:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
276,AA,9261,AMERICAN AIRLINES,2024-02-13T09:15:00,2024-02-13T09:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
277,AM,7863,AERO MEXICO,2024-02-13T09:15:00,2024-02-13T09:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
278,LY,315,EL AL ISRAEL AIRLINES,2024-02-13T09:15:00,2024-02-13T09:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
279,SK,3181,SAS,2024-02-13T09:15:00,2024-02-13T09:30:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
288,AM,7885,AERO MEXICO,2024-02-13T09:00:00,2024-02-13T09:54:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
289,LY,323,EL AL ISRAEL AIRLINES,2024-02-13T09:00:00,2024-02-13T09:54:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
290,SK,3163,SAS,2024-02-13T09:00:00,2024-02-13T09:54:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
291,LY,311,EL AL ISRAEL AIRLINES,2024-02-13T09:40:00,2024-02-13T10:00:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
292,LY,5101,EL AL ISRAEL AIRLINES,2024-02-13T10:00:00,2024-02-13T10:16:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
293,LY,003,EL AL ISRAEL AIRLINES,2024-02-13T10:00:00,2024-02-13T10:21:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
294,EK,2370,EMIRATES,2024-02-13T10:10:00,2024-02-13T10:24:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
295,FZ,1550,FLYDUBAI,2024-02-13T10:10:00,2024-02-13T10:24:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
297,IZ,807,ARKIA  ISRAELI  AIRLINES,2024-02-13T10:30:00,2024-02-13T10:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
298,IZ,1295,ARKIA  ISRAELI  AIRLINES,2024-02-13T10:50:00,2024-02-13T10:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,56-60,C,ON TIME,בזמן
304,EK,2451,EMIRATES,2024-02-13T11:35:00,2024-02-13T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
305,FZ,1082,FLYDUBAI,2024-02-13T11:35:00,2024-02-13T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
306,6H,047,ISRAIR AIRLINES,2024-02-13T11:45:00,2024-02-13T11:45:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G28-G35,G,ON TIME,בזמן
308,FR,7162,RYANAIR,2024-02-13T11:50:00,2024-02-13T11:50:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,63-66,C,ON TIME,בזמן
310,LY,973,EL AL ISRAEL AIRLINES,2024-02-13T11:50:00,2024-02-13T11:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,ON TIME,בזמן
311,A4,5026,AZIMUTH AIRLINES,2024-02-13T12:05:00,2024-02-13T12:05:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,39-41,B,ON TIME,בזמן
312,HU,744,HAINAN AIRLINES,2024-02-13T12:10:00,2024-02-13T12:10:00,D,SZX,SHENZHEN  BAOAN INT.,שנז'ן,SHENZHEN,סין,CHINA,3,34-38,B,ON TIME,בזמן
314,LY,543,EL AL ISRAEL AIRLINES,2024-02-13T12:45:00,2024-02-13T12:45:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
315,A3,927,AEGEAN  AIRLINES,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
316,EK,4978,EMIRATES,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
317,FB,1514,BULGARIA  AIR,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
318,JU,7621,AIR SERBIA,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
319,EK,2364,EMIRATES,2024-02-13T12:55:00,2024-02-13T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
320,FZ,1212,FLYDUBAI,2024-02-13T12:55:00,2024-02-13T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
323,AM,7871,AERO MEXICO,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
324,AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
325,B6,6455,JETBLUE AIRWAYS CORPORATION,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
326,DL,7430,DELTA AIRLINES,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
327,LY,007,EL AL ISRAEL AIRLINES,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
333,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-13T13:10:00,2024-02-13T13:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
334,LX,255,SWISS INT`L  AIRLINES,2024-02-13T13:05:00,2024-02-13T13:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,ON TIME,בזמן
343,FR,2006,RYANAIR,2024-02-13T13:50:00,2024-02-13T13:50:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,63-66,C,ON TIME,בזמן
353,EK,2346,EMIRATES,2024-02-13T14:20:00,2024-02-13T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,51-55,B,ON TIME,בזמן
354,FZ,1126,FLYDUBAI,2024-02-13T14:20:00,2024-02-13T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,51-55,B,ON TIME,בזמן
357,BZ,702,BLUE BIRD AIRWAYS,2024-02-13T14:30:00,2024-02-13T14:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-58,C,ON TIME,בזמן
359,ET,419,ETHIOPIAN AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,67-72,C,ON TIME,בזמן
360,LY,5107,EL AL ISRAEL AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
361,LY,8809,EL AL ISRAEL AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,67-72,C,ON TIME,בזמן
362,IZ,281,ARKIA  ISRAELI  AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,59-62,C,ON TIME,בזמן
363,LY,355,EL AL ISRAEL AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
366,SK,3179,SAS,2024-02-13T14:45:00,2024-02-13T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
367,WZ,016,RED WINGS AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,41-43,B,ON TIME,בזמן
378,6H,561,ISRAIR AIRLINES,2024-02-13T15:15:00,2024-02-13T15:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
382,OS,858,AUSTRIAN AIRLINES,2024-02-13T15:40:00,2024-02-13T15:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,24-33,A,ON TIME,בזמן
383,LY,387,EL AL ISRAEL AIRLINES,2024-02-13T15:45:00,2024-02-13T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
384,SK,3183,SAS,2024-02-13T15:45:00,2024-02-13T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
386,AF,963,AIR FRANCE,2024-02-13T15:55:00,2024-02-13T15:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-40,B,ON TIME,בזמן
387,LO,154,LOT POLISH AIRLINES,2024-02-13T16:00:00,2024-02-13T16:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,63-66,C,ON TIME,בזמן
390,AM,7851,AERO MEXICO,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
391,LY,339,EL AL ISRAEL AIRLINES,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
392,SK,3151,SAS,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
393,6H,891,ISRAIR AIRLINES,2024-02-13T16:10:00,2024-02-13T16:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,47-50,B,ON TIME,בזמן
394,LY,363,EL AL ISRAEL AIRLINES,2024-02-13T16:15:00,2024-02-13T16:15:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,ON TIME,בזמן
395,LH,687,LUFTHANSA,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
396,SN,7174,BRUSSELS AIRLINES,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
397,UA,9123,UNITED AIRLINES,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
398,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-13T16:30:00,2024-02-13T16:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
399,LY,009,EL AL ISRAEL AIRLINES,2024-02-13T16:35:00,2024-02-13T16:35:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
404,AM,7853,AERO MEXICO,2024-02-13T16:50:00,2024-02-13T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
405,LY,325,EL AL ISRAEL AIRLINES,2024-02-13T16:50:00,2024-02-13T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
408,6H,045,ISRAIR AIRLINES,2024-02-13T17:00:00,2024-02-13T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G28-G35,G,ON TIME,בזמן
412,AM,7877,AERO MEXICO,2024-02-13T17:15:00,2024-02-13T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
413,LY,317,EL AL ISRAEL AIRLINES,2024-02-13T17:15:00,2024-02-13T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
414,LY,5109,EL AL ISRAEL AIRLINES,2024-02-13T17:30:00,2024-02-13T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
415,LY,2523,EL AL ISRAEL AIRLINES,2024-02-13T17:45:00,2024-02-13T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
421,LY,571,EL AL ISRAEL AIRLINES,2024-02-13T17:50:00,2024-02-13T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
425,IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-13T18:20:00,2024-02-13T18:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-59,C,ON TIME,בזמן
427,A4,5024,AZIMUTH AIRLINES,2024-02-13T18:55:00,2024-02-13T18:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,34-36,B,ON TIME,בזמן
430,IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-13T19:40:00,2024-02-13T19:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
436,LY,087,EL AL ISRAEL AIRLINES,2024-02-13T20:35:00,2024-02-13T20:35:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
444,6H,583,ISRAIR AIRLINES,2024-02-13T21:35:00,2024-02-13T21:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-37,B,ON TIME,בזמן
447,LY,081,EL AL ISRAEL AIRLINES,2024-02-13T22:05:00,2024-02-13T22:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
449,QF,5020,QANTAS AIRWAYS,2024-02-13T22:05:00,2024-02-13T22:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
450,TG,4584,THAI AIRWAYS,2024-02-13T22:05:00,2024-02-13T22:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
451,VN,3298,VIETNAM AIRLINES,2024-02-13T22:05:00,2024-02-13T22:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
461,B6,6481,JETBLUE AIRWAYS CORPORATION,2024-02-14T00:05:00,2024-02-14T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
462,DL,7441,DELTA AIRLINES,2024-02-14T00:05:00,2024-02-14T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
463,LY,025,EL AL ISRAEL AIRLINES,2024-02-14T00:05:00,2024-02-14T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
467,AM,7869,AERO MEXICO,2024-02-14T00:45:00,2024-02-14T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
468,AM,7875,AERO MEXICO,2024-02-14T00:45:00,2024-02-14T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
469,AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-14T00:45:00,2024-02-14T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
470,B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-14T00:45:00,2024-02-14T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
471,B6,6461,JETBLUE AIRWAYS CORPORATION,2024-02-14T00:45:00,2024-02-14T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
472,DL,7424,DELTA AIRLINES,2024-02-14T00:45:00,2024-02-14T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
473,DL,7428,DELTA AIRLINES,2024-02-14T00:45:00,2024-02-14T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
474,LY,001,EL AL ISRAEL AIRLINES,2024-02-14T00:45:00,2024-02-14T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
475,LY,005,EL AL ISRAEL AIRLINES,2024-02-14T00:45:00,2024-02-14T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
480,AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-14T01:00:00,2024-02-14T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
481,B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-14T01:00:00,2024-02-14T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
482,B6,6483,JETBLUE AIRWAYS CORPORATION,2024-02-14T01:00:00,2024-02-14T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
483,DL,7437,DELTA AIRLINES,2024-02-14T01:00:00,2024-02-14T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
484,DL,7443,DELTA AIRLINES,2024-02-14T01:00:00,2024-02-14T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
485,LY,017,EL AL ISRAEL AIRLINES,2024-02-14T01:00:00,2024-02-14T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
486,LY,027,EL AL ISRAEL AIRLINES,2024-02-14T01:00:00,2024-02-14T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
489,ET,405,ETHIOPIAN AIRLINES,2024-02-14T02:05:00,2024-02-14T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
490,LY,8807,EL AL ISRAEL AIRLINES,2024-02-14T02:05:00,2024-02-14T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
503,AA,9262,AMERICAN AIRLINES,2024-02-14T05:50:00,2024-02-14T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
504,AM,7867,AERO MEXICO,2024-02-14T05:50:00,2024-02-14T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
505,LY,319,EL AL ISRAEL AIRLINES,2024-02-14T05:50:00,2024-02-14T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
506,SK,3161,SAS,2024-02-14T05:50:00,2024-02-14T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
507,LY,345,EL AL ISRAEL AIRLINES,2024-02-14T05:55:00,2024-02-14T05:55:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
508,LY,2371,EL AL ISRAEL AIRLINES,2024-02-14T06:00:00,2024-02-14T06:00:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
509,SK,3157,SAS,2024-02-14T06:00:00,2024-02-14T06:00:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
