_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
632,FZ,1126,FLYDUBAI,2024-02-14T14:20:00,2024-02-14T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-62,C,ON TIME,בזמן
633,IZ,292,ARKIA  ISRAELI  AIRLINES,2024-02-14T14:25:00,2024-02-14T14:25:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
634,AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-14T14:30:00,2024-02-14T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
635,BZ,702,BLUE BIRD AIRWAYS,2024-02-14T14:30:00,2024-02-14T14:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,65-67,C,ON TIME,בזמן
636,LY,386,EL AL ISRAEL AIRLINES,2024-02-14T14:30:00,2024-02-14T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
637,6H,725,ISRAIR AIRLINES,2024-02-14T14:30:00,2024-02-14T14:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-37,B,ON TIME,בזמן
638,LY,5107,EL AL ISRAEL AIRLINES,2024-02-14T14:35:00,2024-02-14T14:35:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
639,6H,767,ISRAIR AIRLINES,2024-02-14T14:45:00,2024-02-14T14:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,37-40,B,ON TIME,בזמן
640,LY,2366,EL AL ISRAEL AIRLINES,2024-02-14T14:55:00,2024-02-14T14:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
641,6H,564,ISRAIR AIRLINES,2024-02-14T15:15:00,2024-02-14T15:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
642,B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-14T15:20:00,2024-02-14T15:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
643,DL,7442,DELTA AIRLINES,2024-02-14T15:20:00,2024-02-14T15:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
644,LY,026,EL AL ISRAEL AIRLINES,2024-02-14T15:20:00,2024-02-14T15:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
645,LY,362,EL AL ISRAEL AIRLINES,2024-02-14T15:25:00,2024-02-14T15:25:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
