_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
304,FZ,1211,FLYDUBAI,2024-02-13T11:40:00,2024-02-13T11:31:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
305,EK,2451,EMIRATES,2024-02-13T11:35:00,2024-02-13T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
306,FZ,1082,FLYDUBAI,2024-02-13T11:35:00,2024-02-13T11:35:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
307,6H,047,ISRAIR AIRLINES,2024-02-13T11:45:00,2024-02-13T11:45:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G28-G35,G,ON TIME,בזמן
308,A3,926,AEGEAN  AIRLINES,2024-02-13T12:00:00,2024-02-13T11:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,FINAL,סופי
309,FR,7162,RYANAIR,2024-02-13T11:50:00,2024-02-13T11:50:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,63-66,C,ON TIME,בזמן
310,JU,7620,AIR SERBIA,2024-02-13T12:00:00,2024-02-13T11:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,FINAL,סופי
311,LY,973,EL AL ISRAEL AIRLINES,2024-02-13T11:50:00,2024-02-13T11:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,ON TIME,בזמן
312,A4,5026,AZIMUTH AIRLINES,2024-02-13T12:05:00,2024-02-13T12:05:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,39-41,B,ON TIME,בזמן
313,HU,744,HAINAN AIRLINES,2024-02-13T12:10:00,2024-02-13T12:10:00,D,SZX,SHENZHEN  BAOAN INT.,שנז'ן,SHENZHEN,סין,CHINA,3,34-38,B,ON TIME,בזמן
314,LX,254,SWISS INT`L  AIRLINES,2024-02-13T11:55:00,2024-02-13T12:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
315,LY,543,EL AL ISRAEL AIRLINES,2024-02-13T12:45:00,2024-02-13T12:45:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
316,A3,927,AEGEAN  AIRLINES,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
317,EK,4978,EMIRATES,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
318,FB,1514,BULGARIA  AIR,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
319,JU,7621,AIR SERBIA,2024-02-13T12:50:00,2024-02-13T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
320,EK,2364,EMIRATES,2024-02-13T12:55:00,2024-02-13T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
321,FZ,1212,FLYDUBAI,2024-02-13T12:55:00,2024-02-13T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
322,EK,2345,EMIRATES,2024-02-13T13:05:00,2024-02-13T12:55:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
323,FZ,1125,FLYDUBAI,2024-02-13T13:05:00,2024-02-13T12:55:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
324,AM,7871,AERO MEXICO,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
325,AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
326,B6,6455,JETBLUE AIRWAYS CORPORATION,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
327,DL,7430,DELTA AIRLINES,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
328,LY,007,EL AL ISRAEL AIRLINES,2024-02-13T13:00:00,2024-02-13T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
329,LY,5142,EL AL ISRAEL AIRLINES,2024-02-13T13:00:00,2024-02-13T13:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
330,IZ,808,ARKIA  ISRAELI  AIRLINES,2024-02-13T13:05:00,2024-02-13T13:05:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
331,FR,2005,RYANAIR,2024-02-13T12:55:00,2024-02-13T13:05:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,,,FINAL,סופי
332,ET,418,ETHIOPIAN AIRLINES,2024-02-13T13:35:00,2024-02-13T13:08:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,FINAL,סופי
333,LY,8808,EL AL ISRAEL AIRLINES,2024-02-13T13:35:00,2024-02-13T13:08:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,FINAL,סופי
334,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-13T13:10:00,2024-02-13T13:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
335,LX,255,SWISS INT`L  AIRLINES,2024-02-13T13:05:00,2024-02-13T13:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,ON TIME,בזמן
336,BZ,701,BLUE BIRD AIRWAYS,2024-02-13T13:30:00,2024-02-13T13:30:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
337,WZ,015,RED WINGS AIRLINES,2024-02-13T13:30:00,2024-02-13T13:30:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
338,LY,574,EL AL ISRAEL AIRLINES,2024-02-13T13:35:00,2024-02-13T13:35:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
339,LY,5130,EL AL ISRAEL AIRLINES,2024-02-13T13:15:00,2024-02-13T13:43:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,DELAYED,עיכוב
340,LY,552,EL AL ISRAEL AIRLINES,2024-02-13T13:45:00,2024-02-13T13:45:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
341,B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-13T14:20:00,2024-02-13T13:49:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
342,DL,7442,DELTA AIRLINES,2024-02-13T14:20:00,2024-02-13T13:49:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
343,LY,026,EL AL ISRAEL AIRLINES,2024-02-13T14:20:00,2024-02-13T13:49:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
344,FR,2006,RYANAIR,2024-02-13T13:50:00,2024-02-13T13:50:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,63-66,C,ON TIME,בזמן
345,LY,542,EL AL ISRAEL AIRLINES,2024-02-13T13:50:00,2024-02-13T13:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
346,LY,008,EL AL ISRAEL AIRLINES,2024-02-13T14:10:00,2024-02-13T13:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
347,6H,886,ISRAIR AIRLINES,2024-02-13T13:55:00,2024-02-13T13:55:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
348,AM,7874,AERO MEXICO,2024-02-13T13:50:00,2024-02-13T13:56:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
349,B6,6462,JETBLUE AIRWAYS CORPORATION,2024-02-13T13:50:00,2024-02-13T13:56:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
350,DL,7429,DELTA AIRLINES,2024-02-13T13:50:00,2024-02-13T13:56:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
351,LY,006,EL AL ISRAEL AIRLINES,2024-02-13T13:50:00,2024-02-13T13:56:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
352,AF,962,AIR FRANCE,2024-02-13T14:20:00,2024-02-13T14:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
353,DL,8457,DELTA AIRLINES,2024-02-13T14:20:00,2024-02-13T14:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,FINAL,סופי
354,EK,2346,EMIRATES,2024-02-13T14:20:00,2024-02-13T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,51-55,B,ON TIME,בזמן
355,FZ,1126,FLYDUBAI,2024-02-13T14:20:00,2024-02-13T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,51-55,B,ON TIME,בזמן
356,6H,048,ISRAIR AIRLINES,2024-02-13T14:25:00,2024-02-13T14:25:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
357,AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-13T14:30:00,2024-02-13T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
358,BZ,702,BLUE BIRD AIRWAYS,2024-02-13T14:30:00,2024-02-13T14:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-58,C,ON TIME,בזמן
359,LY,386,EL AL ISRAEL AIRLINES,2024-02-13T14:30:00,2024-02-13T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
360,ET,419,ETHIOPIAN AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,67-72,C,ON TIME,בזמן
361,LY,5107,EL AL ISRAEL AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
362,LY,8809,EL AL ISRAEL AIRLINES,2024-02-13T14:35:00,2024-02-13T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,67-72,C,ON TIME,בזמן
363,IZ,281,ARKIA  ISRAELI  AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,59-62,C,ON TIME,בזמן
364,LY,355,EL AL ISRAEL AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
365,NH,5621,ALL NIPPON AIRWAYS,2024-02-13T14:45:00,2024-02-13T14:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
366,OS,857,AUSTRIAN AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
367,SK,3179,SAS,2024-02-13T14:45:00,2024-02-13T14:45:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
368,WZ,016,RED WINGS AIRLINES,2024-02-13T14:45:00,2024-02-13T14:45:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,41-43,B,ON TIME,בזמן
369,LY,2366,EL AL ISRAEL AIRLINES,2024-02-13T14:55:00,2024-02-13T14:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
370,LO,153,LOT POLISH AIRLINES,2024-02-13T15:00:00,2024-02-13T15:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
371,LY,9254,EL AL ISRAEL AIRLINES,2024-02-13T15:00:00,2024-02-13T15:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
372,AA,9264,AMERICAN AIRLINES,2024-02-13T15:05:00,2024-02-13T15:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
373,LY,354,EL AL ISRAEL AIRLINES,2024-02-13T15:05:00,2024-02-13T15:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
374,AC,9020,AIR CANADA,2024-02-13T15:15:00,2024-02-13T15:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
375,LH,686,LUFTHANSA,2024-02-13T15:15:00,2024-02-13T15:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
376,NH,5459,ALL NIPPON AIRWAYS,2024-02-13T15:15:00,2024-02-13T15:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
377,SN,7173,BRUSSELS AIRLINES,2024-02-13T15:15:00,2024-02-13T15:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
378,UA,9120,UNITED AIRLINES,2024-02-13T15:15:00,2024-02-13T15:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
379,6H,561,ISRAIR AIRLINES,2024-02-13T15:15:00,2024-02-13T15:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
380,IZ,816,ARKIA  ISRAELI  AIRLINES,2024-02-13T15:35:00,2024-02-13T15:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
381,LY,2372,EL AL ISRAEL AIRLINES,2024-02-13T15:35:00,2024-02-13T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
382,SK,3154,SAS,2024-02-13T15:35:00,2024-02-13T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
383,OS,858,AUSTRIAN AIRLINES,2024-02-13T15:40:00,2024-02-13T15:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,24-33,A,ON TIME,בזמן
384,LY,387,EL AL ISRAEL AIRLINES,2024-02-13T15:45:00,2024-02-13T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
385,SK,3183,SAS,2024-02-13T15:45:00,2024-02-13T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
386,6H,662,ISRAIR AIRLINES,2024-02-13T15:50:00,2024-02-13T15:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
387,AF,963,AIR FRANCE,2024-02-13T15:55:00,2024-02-13T15:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-40,B,ON TIME,בזמן
388,LO,154,LOT POLISH AIRLINES,2024-02-13T16:00:00,2024-02-13T16:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,63-66,C,ON TIME,בזמן
389,LY,382,EL AL ISRAEL AIRLINES,2024-02-13T16:00:00,2024-02-13T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
390,SK,3184,SAS,2024-02-13T16:00:00,2024-02-13T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
391,AM,7851,AERO MEXICO,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
392,LY,339,EL AL ISRAEL AIRLINES,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
393,SK,3151,SAS,2024-02-13T16:10:00,2024-02-13T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
394,6H,891,ISRAIR AIRLINES,2024-02-13T16:10:00,2024-02-13T16:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,47-50,B,ON TIME,בזמן
395,LY,363,EL AL ISRAEL AIRLINES,2024-02-13T16:15:00,2024-02-13T16:15:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,ON TIME,בזמן
396,LH,687,LUFTHANSA,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
397,SN,7174,BRUSSELS AIRLINES,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
398,UA,9123,UNITED AIRLINES,2024-02-13T16:20:00,2024-02-13T16:20:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
399,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-13T16:30:00,2024-02-13T16:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
400,LY,009,EL AL ISRAEL AIRLINES,2024-02-13T16:35:00,2024-02-13T16:35:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
401,AA,9258,AMERICAN AIRLINES,2024-02-13T16:40:00,2024-02-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
402,IB,2393,IBERIA,2024-02-13T16:40:00,2024-02-13T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
403,LY,320,EL AL ISRAEL AIRLINES,2024-02-13T16:40:00,2024-02-13T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
404,LY,394,EL AL ISRAEL AIRLINES,2024-02-13T16:40:00,2024-02-13T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
405,AM,7853,AERO MEXICO,2024-02-13T16:50:00,2024-02-13T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
406,LY,325,EL AL ISRAEL AIRLINES,2024-02-13T16:50:00,2024-02-13T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
407,LY,338,EL AL ISRAEL AIRLINES,2024-02-13T16:50:00,2024-02-13T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
408,SK,3150,SAS,2024-02-13T16:50:00,2024-02-13T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
409,6H,045,ISRAIR AIRLINES,2024-02-13T17:00:00,2024-02-13T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G28-G35,G,ON TIME,בזמן
410,IZ,1296,ARKIA  ISRAELI  AIRLINES,2024-02-13T17:05:00,2024-02-13T17:05:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
411,LY,348,EL AL ISRAEL AIRLINES,2024-02-13T17:05:00,2024-02-13T17:05:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
412,SK,3188,SAS,2024-02-13T17:05:00,2024-02-13T17:05:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
413,AM,7877,AERO MEXICO,2024-02-13T17:15:00,2024-02-13T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
414,LY,317,EL AL ISRAEL AIRLINES,2024-02-13T17:15:00,2024-02-13T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
415,LY,5109,EL AL ISRAEL AIRLINES,2024-02-13T17:30:00,2024-02-13T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
416,LY,2523,EL AL ISRAEL AIRLINES,2024-02-13T17:45:00,2024-02-13T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
417,AA,9266,AMERICAN AIRLINES,2024-02-13T17:50:00,2024-02-13T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
418,AM,7859,AERO MEXICO,2024-02-13T17:50:00,2024-02-13T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
419,AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-02-13T17:50:00,2024-02-13T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
420,IB,2395,IBERIA,2024-02-13T17:50:00,2024-02-13T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
421,LY,396,EL AL ISRAEL AIRLINES,2024-02-13T17:50:00,2024-02-13T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
422,LY,571,EL AL ISRAEL AIRLINES,2024-02-13T17:50:00,2024-02-13T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
423,LY,236,EL AL ISRAEL AIRLINES,2024-02-13T17:55:00,2024-02-13T17:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
424,A4,5023,AZIMUTH AIRLINES,2024-02-13T18:00:00,2024-02-13T18:00:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
425,LY,544,EL AL ISRAEL AIRLINES,2024-02-13T18:00:00,2024-02-13T18:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
426,IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-13T18:20:00,2024-02-13T18:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-59,C,ON TIME,בזמן
427,LY,5102,EL AL ISRAEL AIRLINES,2024-02-13T18:40:00,2024-02-13T18:40:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
428,A4,5024,AZIMUTH AIRLINES,2024-02-13T18:55:00,2024-02-13T18:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,34-36,B,ON TIME,בזמן
429,IZ,822,ARKIA  ISRAELI  AIRLINES,2024-02-13T18:55:00,2024-02-13T18:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
430,6H,046,ISRAIR AIRLINES,2024-02-13T19:30:00,2024-02-13T19:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
431,IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-13T19:40:00,2024-02-13T19:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G27,G,ON TIME,בזמן
432,AA,9259,AMERICAN AIRLINES,2024-02-13T20:00:00,2024-02-13T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
